,Unnamed: 0,Unnamed: 0.1,doi,pmid,text,link,label1,numerics,tfidf,Symptoms,Genetics,Metabolism,Screening,Treatments,Epidemiology
0,0,0,10.1377/hlthaff.2014.0743,25489031.0,service although however market neither class direction pediatric statute standard determine specifically essential child health define many review benefit special condition regulation benchmark coverage aca also multiple plan policy state group ehbs ehb marketplace vision study explicitly small important term distinct oral furthermore insurance year care address individual finding summary establishes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587658/,abstract,2,ehbs ehb statute marketplace explicitly aca benchmark vision establishes insurance define market direction coverage plan class summary special distinct specifically oral address policy service regulation pediatric furthermore essential determine benefit small standard finding state multiple care term condition important individual review child health group year study,{},{},{},{},{},{}
1,1,1,10.7508/ibj.2015.03.009,26025954.0,carrier significant pcr three phenylalanine variable family allele turkish difference structure prenatal azeri word population background phenylketonuria method frequency genetics genotype pah general conclusion report result group diagnosis frequent study statistically repeat copy key first hydroxylase tandem iranian respectively genetic gene eight number vntr detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571015/,abstract,3,azeri vntr turkish iranian copy repeat pcr prenatal statistically frequent word tandem carrier genotype allele variable pah genetics structure frequency general hydroxylase detection background key report family respectively conclusion difference phenylketonuria number phenylalanine diagnosis population significant gene group genetic method result study,"{""phenylalanine"": {""freq"": 2, ""string"": [""family respectively conclusion difference phenylketonuria number phenylalanine diagnosis population significant gene g""]}}","{""genetic"": {""freq"": 1, ""string"": []}}",{},"{""detection"": {""freq"": 1, ""string"": [""pah genetics structure frequency general hydroxylase detection background key report family r""]}, ""tandem"": {""freq"": 1, ""string"": [""repeat pcr prenatal statistically frequent word tandem carrier genotype allele variable p""]}}",{},{}
2,2,2,10.3748/wjg.v21.i8.2504,25741161.0,lam growth abnormal time defect monotherapy neonatal median elevated weight fetus prognosis effective addition capital virus medical pregnant initiation subject evidence event gynecology clinical therapy vaccination tenofovir curative china ldt result university efficacy length effect creatinine data good resistant change copy decrease pregnancy fetal transmission hepatitis score level significant ditan alt female log department normal hbv fourteen outcome method seventeen perinatal alanine development serum safety baseline treatment ten delivery maternal telbivudine january birth chronic lamivudine resistance adverse hospital aim beijing aminotransferase infant also conclusion obstetrics june study eleven phosphorus patient vertical apgar safe statistically,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4342930/,abstract,6,vertical tenofovir telbivudine ldt lamivudine lam gynecology ditan alt monotherapy vaccination seventeen obstetrics capital beijing apgar aminotransferase phosphorus curative log hbv resistant fourteen creatinine hepatitis fetus alanine initiation perinatal copy june department transmission prognosis safe january length pregnant resistance virus china fetal university statistically safety event elevated baseline abnormal pregnancy delivery median good maternal decrease adverse female serum efficacy weight neonatal hospital chronic defect growth birth score aim infant normal addition subject change effective medical therapy evidence outcome conclusion time significant development effect method data level treatment clinical result patient study,{},{},{},{},{},{}
3,3,3,10.4103/ijnmr.IJNMR_174_18,31333744.0,resilience difference among time moreover common shahid motahhari control effective disease status material respectively excel cancer strategy childhood cvds clinical therapy questionnaire value health support chip result effect integration data inventory cause term score mortality significant three one child intervention variance anova method social second parent mother urmia best randomized ghq sample two iran determine standard analysis background hospital cardiovascular trial general conclusion group different study patient randomly demographic deviation perception,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6621495/,abstract,3,urmia shahid motahhari ghq cvds excel anova resilience chip inventory randomized perception variance randomly demographic integration deviation iran cardiovascular mother best mortality childhood second cancer questionnaire hospital social determine parent general status score standard background support trial cause strategy value effective respectively intervention therapy material conclusion term difference common sample time control child different significant health group effect method data clinical analysis result patient disease study,"{""social"": {""freq"": 1, ""string"": [""mortality childhood second cancer questionnaire hospital social determine parent general status s""]}}",{},{},{},{},{}
4,4,4,10.1136/bmjpo-2017-000172,29637168.0,training delay fellowship new region almost representative information pathway uncertainty brief paediatric aged need territory common state coordination experience specialist disease month survey physician college australian relevant unit career clinical respondent health portal australasian support university resultsof conclusionsan guideline service educational peer surveillance one female smartphone referral problem database child unprepared private designa rural currency via paediatrician online resource treatment adequately year care list rare royal sample professional lack application consolidated hospital module available refer multiple dissemination diagnostic practice different urban last objectiveto patient accuracy australia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5862166/,abstract,4,unprepared royal paediatrician fellowship conclusionsan australasian career currency portal consolidated territory smartphone refer designa australian dissemination adequately module college urban private resultsof coordination australia uncertainty training paediatric peer brief surveillance representative referral rural respondent specialist objectiveto unit list educational physician university delay guideline accuracy resource experience service professional aged female survey hospital lack database practice relevant problem need diagnostic region support month application state multiple online pathway rare care information common sample available new child different health year treatment clinical patient disease,{},{},"{""pathway"": {""freq"": 1, ""string"": [""support month application state multiple online pathway rare care information common s""]}}",{},{},{}
5,5,5,10.1002/humu.23542,29704307.0,specific disorder availability benign search information effort across several researcher severe variation practical rtt severity clinician well disease neurological contribute amount unique poorly user clinical protein findability monogenic annotate genotype result diagnosis effect data good interoperability cause thousand cpg type genetic level use yet case mutation main pathogenic phenotype problem syndrome database provide point management aid functionality parent loss online methyl important nevertheless mecp entry rare find within alongside variant function currently available general conclusion rett different study gene,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6033003/,abstract,3,rtt interoperability findability annotate rett mecp cpg entry functionality alongside benign aid methyl thousand monogenic poorly contribute practical researcher clinician pathogenic availability severity unique genotype search neurological effort good loss variation point database syndrome currently parent general provide problem main phenotype severe management user cause variant online use rare information mutation conclusion important function case available specific type diagnosis different protein gene effect genetic data level disorder clinical result disease study,"{""neurological"": {""freq"": 1, ""string"": [""pathogenic availability severity unique genotype search neurological effort good loss variation p""]}}","{""genetic"": {""freq"": 1, ""string"": [""type diagnosis different protein gene effect genetic data level disorder clinical r""]}}",{},{},{},{}
6,6,6,10.3390/nu11030520,30823411.0,blood better difference content boy time median aged significantly pku glycomacropeptide intake phe phenylalanine subject evidence introduction dosage tyr higher protein range mol contribution result effect casein significant rate utilisation tyrosine child point week phenylketonuria day method plan free concentration regimen year diet help every meal age spot residual impact eighteen conclusion group different last study substitute acid dietary assessing amino variability usual isocaloric cgmp,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6471794/,abstract,22,assessing isocaloric utilisation cgmp usual eighteen meal casein dosage substitute regimen residual glycomacropeptide boy plan tyr introduction variability contribution mol content median aged help point free intake tyrosine spot week better phe subject day range diet impact dietary rate concentration evidence pku amino conclusion higher difference phenylketonuria time significantly phenylalanine blood acid child different protein age significant group year effect method result study,"{""phenylalanine"": {""freq"": 2, ""string"": [""conclusion higher difference phenylketonuria time significantly phenylalanine blood acid child different p""]}}",{},{},"{""amino"": {""freq"": 1, ""string"": [""impact dietary rate concentration evidence pku amino conclusion higher difference phenylketonuria t""]}}","{""diet"": {""freq"": 1, ""string"": [""week better phe subject day range diet impact dietary rate concentration e""]}}",{}
7,7,7,10.5144/0256-4947.2016.391,27920410.0,splice disorder blood tool exon sectional exhibit progressive abnormal defect autosomal aspm site occipito maternity molecular due genetics heterogeneous resultsa conclusionskipping underlying disease typical limitationssingle settingmadinah family methodsa frontal clinical protein clinically finder nextseq primary saudi university like effect date change cause novel genetic mcph capture non detection commonly whole rapid mutation main motif measure spindle phenotype backgroundautosomal centre instrument taibah child outcome silico designa exome disability nextera filter kit microcephaly genetically sample variant homozygous recessive order peripheral dna circumference analysis hospital variantstudio head intellectual study human sequencing isolated patient gene individual prioritize number,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6074201/,abstract,6,variantstudio taibah settingmadinah occipito nextseq nextera mcph limitationssingle finder conclusionskipping backgroundautosomal spindle maternity aspm prioritize designa splice saudi kit motif frontal silico microcephaly isolated circumference capture resultsa exhibit typical head filter instrument homozygous heterogeneous progressive peripheral centre methodsa underlying exome commonly exon university genetically recessive abnormal date autosomal sectional intellectual clinically dna site hospital genetics rapid disability sequencing defect like main phenotype order detection tool measure change primary cause variant molecular family novel mutation outcome non sample number individual human blood child protein gene effect genetic disorder clinical analysis patient disease study,"{""microcephaly"": {""freq"": 1, ""string"": [""splice saudi kit motif frontal silico microcephaly isolated circumference capture resultsa e""]}, ""intellectual"": {""freq"": 1, ""string"": [""genetically recessive abnormal date autosomal sectional intellectual clinically dna site hospital g""]}}","{""autosomal"": {""freq"": 1, ""string"": [""nextera mcph limitationssingle finder conclusionskipping backgroundautosomal spindle maternity aspm prioritize d"", ""exon university genetically recessive abnormal date autosomal sectional intellectual clinically dna s""]}, ""recessive"": {""freq"": 1, ""string"": [""underlying exome commonly exon university genetically recessive abnormal date autosomal sectional i""]}, ""homozygous"": {""freq"": 1, ""string"": [""resultsa exhibit typical head filter instrument homozygous heterogeneous progressive peripheral centre m""]}, ""genetic"": {""freq"": 1, ""string"": [""human blood child protein gene effect genetic disorder clinical analysis patient d""]}}",{},"{""detection"": {""freq"": 1, ""string"": [""sequencing defect like main phenotype order detection tool measure change primary c""]}}",{},{}
8,8,8,10.1186/s13065-019-0611-x,31508598.0,new secondly early world modification surface catalyst physical literature common prognosis optical onto effective firstly material cancer strategy recent screening mainly role protein fluid body diagnosis property thus biosensor stability cause term novel long type mortality detection remarkable signal biomarkers ingenious electrochemical sensitivity prostate many review approach toward potential technology biosensors important key fatality interface carrier wide amplification two sixth approximately field graphene analysis importance group high study magnetic playing performance highly total number sensitive,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720397/,abstract,0,prostate ingenious catalyst sixth secondly playing fatality graphene biosensor firstly electrochemical biosensors remarkable optical amplification interface prognosis surface fluid modification stability signal sensitive mainly magnetic carrier world approximately property mortality physical cancer sensitivity biomarkers highly wide importance technology performance field literature detection body screening long cause strategy key effective recent novel total material term important role common approach number new early type diagnosis review potential protein group high analysis study,{},{},{},"{""detection"": {""freq"": 1, ""string"": [""wide importance technology performance field literature detection body screening long cause s""]}, ""screening"": {""freq"": 1, ""string"": [""technology performance field literature detection body screening long cause strategy key e""]}}",{},{}
9,9,9,10.3389/fnut.2017.00005,28373974.0,major notably interestingly specific disorder huge menopause example physiological difference energy composition pathway gain present concern weight behavior homeostasis clear intake contribute account animal strategy obesity extensively health protein mouse body food scientist result metabolic situation effect specie rat period level mimic comorbidities modulation many critical review window model perinatal frequently stage dam expenditure limit diet offspring particularly public pathophysiological estrogen quality aspect mechanism impact quantity widely also withdrawal consequence different feeding study human dietary interesting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5357654/,abstract,0,menopause modulation dam withdrawal huge estrogen offspring comorbidities window mimic expenditure scientist interesting perinatal pathophysiological notably extensively feeding quantity interestingly situation gain contribute specie clear physiological homeostasis composition limit rat energy widely aspect account obesity frequently concern stage consequence animal weight example behavior critical intake particularly period public mouse body food major strategy quality pathway mechanism diet impact dietary difference present human model specific review different protein metabolic health effect level disorder result study,{},{},"{""pathway"": {""freq"": 1, ""string"": [""mouse body food major strategy quality pathway mechanism diet impact dietary d""]}}",{},"{""diet"": {""freq"": 1, ""string"": [""food major strategy quality pathway mechanism diet impact dietary difference present h""]}}",{}
