,Unnamed: 0,Unnamed: 0.1,doi,pmid,text,link,label1,DNA,PROTEIN,RNA,CELL_TYPE,CELL_LINE
0,0,0,10.1377/hlthaff.2014.0743,25489031.0,"the aca establishes “essential health benefits” (ehbs) as the coverage standard for health plans sold in the individual and small group markets, including the health insurance marketplace. “pediatric services” are a required ehb coverage class. however, other than oral health and vision care, neither the statute nor the implementing regulations define the term. this study aimed to determine how state benchmark plans address pediatric coverage in ehb-governed plans. our review of state benchmark plan summaries for all 50 states and d.c. found that no state specified a distinct “pediatric services” benefit class. furthermore, although benchmark plans explicitly included multiple pediatric conditions, many state benchmark plans also specifically excluded services for children with special health care needs. these findings suggest important policy directions in preparing for the 2016 plan year",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587658/,abstract,,,,,
1,1,1,10.7508/ibj.2015.03.009,26025954.0,"background:the variable numbers of tandem-repeat (vntr) alleles at the phenylalanine hydroxylase (pah) gene have been used in carrier detection and prenatal diagnosis in phenylketonuria families. this study was carried out to analyze vntr alleles at the pah gene in iranian azeri turkish population. methods:in this study, 200 alleles from general population were studied by pcr. results: the frequencies of vntr alleles were 45%, 46%, 2%, 3%, 1%, and 3% in studied group regarding 3, 8, 9, 11, 12, and 13 repeat copies, respectively. statistically significant differences were not found between expected and observed frequencies of vntr genotypes (p > 0.05). conclusions:vntr alleles with three and eight repeats were frequent, and the vntr alleles with 13 repeats showed 3% frequency in the tested group. this study is the first report on tested population genetic structure using vntr alleles at the pah gene. key words: phenylalanine hydroxylase, population genetics, variable numbers of tandem-repeat",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571015/,abstract,"tandem-repeat (vntr) alleles , phenylalanine hydroxylase (pah) gene , vntr alleles , pah gene , vntr alleles , vntr alleles , vntr alleles , pah gene",,,,
2,2,2,10.3748/wjg.v21.i8.2504,25741161.0,"aim: to evaluate the safety and efficacy of tenofovir monotherapy in pregnant females resistant to lamivudine or telbivudine. the effect of tenofovir on the fetus was also assessed.methods: the clinical data of 17 females were reviewed in this study. adverse events and pregnancy outcomes from january 1, 2011 to june 30, 2013 were evaluated in the department of gynecology and obstetrics of beijing ditan hospital, capital medical university, beijing, china. these pregnant females developed lamivudine (lam)- or telbivudine (ldt)-resistant chronic hepatitis b and received tenofovir (tdf) therapy (300 mg/d), and its curative effect, maternal and perinatal adverse events, fetal growth and development, and neonatal prognosis were evaluated.results: the median hepatitis b virus (hbv) dna level in the pregnant females with lam or ldt resistance was 5.9 (range, 4.2-7.2) log10 copies/ml before the initiation of tdf. ten of these females had abnormal alanine aminotransferase (alt) levels. the patients were treated with tdf for a median of 24 wk (range, 12-40 wk). fourteen females (82.4%) had an hbv dna level of < 500 copies/ml at the time of delivery. this decrease was statistically significant (p < 0.0001). serum alt levels were normalized in all subjects with an elevated serum alt level at baseline (p = 0.0003). there were no significant changes in serum creatinine and phosphorus levels during tdf treatment. in addition, no adverse events related to tdf treatment were observed. seventeen females delivered 17 live infants, and all infants had good apgar scores. the mean birth weight was 3226.5 ± 331.7 g, and the mean length at birth was 50.4 ± 1.1 cm. the growth and development of the infants was normal at birth, and no infants had birth defects related to tdf treatment. eleven infants completed hbv vaccination and had no evidence of vertical transmission.conclusion: the use of tdf in pregnant females with chronic hbv and lam or ldt resistance was safe and effective",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4342930/,abstract,,abnormal alanine aminotransferase,,,
3,3,3,10.4103/ijnmr.IJNMR_174_18,31333744.0,"background:cancer is the second most common cause of mortality after cardiovascular diseases (cvds). resilience is one of the best strategies for coping with diseases in patients with cancer. this study was aimed to determine the effect of resilience-based group therapy intervention on coping in mothers of children with cancer.materials and methods:this randomized clinical trial was carried out on 48 mothers of children with cancer in shahid motahhari hospital of urmia, iran, in 2017. samples were randomly divided into two groups in excel. the data were collected using a demographic questionnaire, the general health questionnaire (ghq-28), and the coping health inventory for parents (chip). analysis of variance (anova) was used to compare the two groups at three different times. all p values of less than 0.05 were considered significant.results:a significant difference was observed in the mean scores of integration between the intervention group and control group (f1, 47 = 426.41, p < 0.001); the mean (standard deviation) of the integration score in the intervention and control groups was 40.80 (2.54) and 18.04 (3.05), respectively. moreover, there was significant difference between the two groups in terms of the mean scores of social support and health status perception (f1, 47 = 176.59, p < 0.001). the mean (standard deviation) of social support and health status perception scores in the intervention group was 39.88 (2.81) and 22.72 (5.91) and in the control group was 16.87 (4.19) and 10.95 (2.01), respectively.conclusions:resilience-based group therapy intervention can be an effective strategy for coping with childhood cancer among mothers of children with cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6621495/,abstract,,cancer.materials,,,
4,4,4,10.1136/bmjpo-2017-000172,29637168.0,"objectiveto describe the experiences of australian paediatricians while caring for children with rare diseases, and their educational and resource needs.designa brief online survey was developed and deployed to a representative sample of 679 paediatricians from the australian paediatric surveillance unit database.resultsof the 679 paediatricians, 242 (36%) completed the survey. the respondents were representative of all states and territories of australia, urban and rural regions, and hospital and private practice. almost all respondents (93%) had seen children with one or more of >350 different rare diseases during their career; 74% had seen a new patient with rare disease in the last 6 months. the most common problems encountered while caring for patients were: diagnostic delays (65%), lack of available treatments (40%), clinical guidelines (36%) and uncertainty where to refer for peer support (35%). few paediatricians said that rare diseases were adequately covered during university (40%) or the fellowship of the royal australasian college of physicians (50%) training, and 28% felt unprepared to care for patients with rare diseases. paediatricians wanted lists of specialist referral services (82%) and online educational modules about rare diseases (78%) that could be accessed via one online portal that consolidated multiple resources. smartphone applications on rare diseases were favoured by paediatricians aged <50 years and by female paediatricians.conclusionsan online educational portal should be developed and maintained for accuracy and currency of information to support dissemination of rare disease guidelines, referral pathways and coordination services relevant to australian paediatricians and other health professionals who care for children with rare diseases",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5862166/,abstract,australian paediatric surveillance unit database.resultsof,paediatricians.conclusionsan,,,
5,5,5,10.1002/humu.23542,29704307.0,"rett syndrome (rtt) is a monogenic rare disorder that causes severe neurological problems. in most cases, it results from a loss‐of‐function mutation in the gene encoding methyl‐cpg‐binding protein 2 (mecp2). currently, about 900 unique mecp2 variations (benign and pathogenic) have been identified and it is suspected that the different mutations contribute to different levels of disease severity. for researchers and clinicians, it is important that genotype–phenotype information is available to identify disease‐causing mutations for diagnosis, to aid in clinical management of the disorder, and to provide counseling for parents. in this study, 13 genotype–phenotype databases were surveyed for their general functionality and availability of rtt‐specific mecp2 variation data. for each database, we investigated findability and interoperability alongside practical user functionality, and type and amount of genetic and phenotype data. the main conclusions are that, as well as being challenging to find these databases and specific mecp2 variants held within, interoperability is as yet poorly developed and requires effort to search across databases. nevertheless, we found several thousand online database entries for mecp2 variations and their associated phenotypes, diagnosis, or predicted variant effects, which is a good starting point for researchers and clinicians who want to provide, annotate, and use the data",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6033003/,abstract,mecp2 variants,"methyl‐cpg‐binding protein 2 , mecp2 , rtt‐specific mecp2 , mecp2",,,
6,6,6,10.3390/nu11030520,30823411.0,"introduction: in phenylketonuria (pku), evidence suggests that casein glycomacropeptide supplemented with rate-limiting amino acids (cgmp-aa) is associated with better protein utilisation and less blood phenylalanine (phe) variability. aim: to study the impact of cgmp-aa on blood phe variability using 3 different dietary regimens in children with pku. methods: this was a 6-week randomised controlled cross-over study comparing cgmp-aa vs. phe-free l-amino acids (l-aa) assessing blood phe and tyrosine (tyr) variability over 24 h in 19 children (7 boys) with pku, with a median age of 10 years (6–16). subjects were randomised to 3 dietary regimens: (1) r1, cgmp-aa and usual dietary phe (cgmp + phe); (2) r2, cgmp-aa − phe content of cgmp-aa from usual diet (cgmp − phe); and (3) r3, l-aa and usual dietary phe. each regimen was administered for 14 days. over the last 48 h on days 13 and 14, blood spots were collected every 4 h at 08 h, 12 h, 16 h, 20 h, 24 h, and 04 h. isocaloric intake and the same meal plan and protein substitute dosage at standardised times were maintained when blood spots were collected. results: eighteen children completed the study. median phe concentrations over 24 h for each group were (range) r1, 290 (30–580), r2, 220 (10–670), r3, 165 (10–640) μmol/l. r1 vs. r2 and r1 vs. r3 p < 0.0001; r2 vs. r3 p = 0.0009. there was a significant difference in median phe at each time point between r1 vs. r2, p = 0.0027 and r1 vs. r3, p < 0.0001, but not between any time points for r2 vs. r3. tyr was significantly higher in both r1 and r2 [70 (20–240 μmol/l] compared to r3 [60 (10–200) μmol/l]. in children < 12 years, blood phe remained in the target range (120–360 μmol/l), over 24 h, for 75% of the time in r1, 72% in r2 and 64% in r3; for children aged ≥ 12 years, blood phe was in target range (120–600 μmol/l) in r1 and r2 for 100% of the time, but 64% in r3. conclusions: the residual phe in cgmp-aa increased blood phe concentration in children. cgmp-aa appears to give less blood phe variability compared to l-aa, but this effect may be masked by the increased blood phe concentrations associated with its phe contribution. reducing dietary phe intake to compensate for cgmp-aa phe content may help",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6471794/,abstract,"pku , pku , dietary phe (cgmp + phe) , − phe , tyr",≥,120–600 μmol/l,,
7,7,7,10.5144/0256-4947.2016.391,27920410.0,"backgroundautosomal recessive primary microcephaly (mcph) is a clinically and genetically heterogeneous disorder. patients with mcph exhibit reduced occipito-frontal head circumference and non-progressive intellectual disability. to date, 17 genes have been known as an underlying cause of mcph in humans. aspm (abnormal spindle-like, microcephaly associated) is the most commonly mutated mcph gene.objectiveidentify the genetic defect underlying mcph in a saudi family.designa cross-sectional clinical genetic study of a saudi family.settingmadinah maternity and children hospital and centre for genetics and inherited diseases, taibah university.patients and methodsa molecular analysis was carried out on dna samples from 10 individuals of a saudi family segregating mcph. dna was isolated from the peripheral blood of 10 individuals, including 2 patients, and whole exome sequencing was performed using the nextera rapid capture kit and nextseq500 instrument. variantstudio was used to filter and prioritize variants.main outcome measure(s)detection of mutation in the aspm gene in a family segregating autosomal recessive primary microcephaly.resultsa novel homozygous splice-site variant (c.3742-1g>c) in the aspm gene was identified. the variant is predicted to have an effect on splicing. human splice finder, an in silico tool, predicted skipping of exon 16 due to this variant.conclusionskipping of exon 16 may change the order and number of iq motifs in the aspm protein leading to typical mcph phenotype.limitationssingle family study.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6074201/,abstract,"17 genes , aspm gene , aspm gene , exon 16 , iq motifs","saudi family segregating mcph , variants.main , c.3742-1g>c , aspm protein , mcph phenotype.limitationssingle family",exon 16,,
8,8,8,10.1186/s13065-019-0611-x,31508598.0,"prostate cancer (pc) is the sixth most common cancer type in the world, which causes approximately 10% of total cancer fatalities. the detection of protein biomarkers in body fluids is the key topic for the diagnosis and prognosis of pc. highly sensitive screening of pc is the most effective approach for reducing mortality. thus, there are a growing number of literature that recognizes the importance of new technologies for early diagnosis of pc. graphene is playing an important role in the biosensor field with remarkable physical, optical, electrochemical and magnetic properties. many recent studies demonstrated the potential of graphene materials for sensitive detection of protein biomarkers. in this review, the graphene-based biosensors toward pc analysis are mainly discussed in two groups: firstly, novel biosensor interfaces were constructed through the modification of graphene materials onto sensor surfaces. secondly, ingenious signal amplification strategies were developed using graphene materials as catalysts or carriers. graphene-based biosensors have exhibited remarkable performance with high sensitivities, wide detection ranges, and long-term stabilities",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720397/,abstract,,,,,
9,9,9,10.3389/fnut.2017.00005,28373974.0,"obesity is an increasing major public health concern asking for dietary strategies to limit weight gain and associated comorbidities. in this review, we present animal models, particularly rats and mice, which have been extensively used by scientists to understand the consequences of diet quality on weight gain and health. notably, modulation of dietary protein quantity and/or quality has been shown to exert huge effects on body composition homeostasis through the modulation of food intake, energy expenditure, and metabolic pathways. interestingly, the perinatal window appears to represent a critical period during which the protein intake of the dam can impact the offspring’s weight gain and feeding behavior. animal models are also widely used to understand the processes and mechanisms that contribute to obesity at different physiological and pathophysiological stages. an interesting example of such aspect is the situation of decreased estrogen level occurring at menopause, which is linked to weight gain and decreased energy expenditure. to study metabolic disorders associated with such situation, estrogen withdrawal in ovariectomized animal models to mimic menopause are frequently used. according to many studies, clear species-specific differences exist between rats and mice that need to be taken into account when results are extrapolated to humans",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5357654/,abstract,,dam,,,
