,doi,pmid,text,link,label1
0,10.1377/hlthaff.2014.0743,25489031,"Go to:AbstractThe ACA establishes “essential health benefits” (EHBs) as the coverage standard for health plans sold in the individual and small group markets, including the health insurance Marketplace. “Pediatric services” are a required EHB coverage class. However, other than oral health and vision care, neither the statute nor the implementing regulations define the term. This study aimed to determine how state benchmark plans address pediatric coverage in EHB-governed plans. Our review of state benchmark plan summaries for all 50 states and D.C. found that no state specified a distinct “pediatric services” benefit class. Furthermore, although benchmark plans explicitly included multiple pediatric conditions, many state benchmark plans also specifically excluded services for children with special health care needs. These findings suggest important policy directions in preparing for the 2016 plan year.Keywords: Children's Health, Consumer Issues, Health Reform, Children Insurance Coverage",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4587658/,abstract
1,10.7508/ibj.2015.03.009,26025954,"Go to:AbstractBackground:The variable numbers of tandem-repeat (VNTR) alleles at the phenylalanine hydroxylase (PAH) gene have been used in carrier detection and prenatal diagnosis in phenylketonuria families. This study was carried out to analyze VNTR alleles at the PAH gene in Iranian Azeri Turkish population. Methods:In this study, 200 alleles from general population were studied by PCR. Results: The frequencies of VNTR alleles were 45%, 46%, 2%, 3%, 1%, and 3% in studied group regarding 3, 8, 9, 11, 12, and 13 repeat copies, respectively. Statistically significant differences were not found between expected and observed frequencies of VNTR genotypes (P > 0.05). Conclusions:VNTR alleles with three and eight repeats were frequent, and the VNTR alleles with 13 repeats showed 3% frequency in the tested group. This study is the first report on tested population genetic structure using VNTR alleles at the PAH gene. Key Words: Phenylalanine hydroxylase, Population genetics, Variable numbers of tandem-repeat",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571015/,abstract
2,10.3748/wjg.v21.i8.2504,25741161,"Go to:AbstractAIM: To evaluate the safety and efficacy of tenofovir monotherapy in pregnant females resistant to lamivudine or telbivudine. The effect of tenofovir on the fetus was also assessed.METHODS: The clinical data of 17 females were reviewed in this study. Adverse events and pregnancy outcomes from January 1, 2011 to June 30, 2013 were evaluated in the Department of Gynecology and Obstetrics of Beijing Ditan Hospital, Capital Medical University, Beijing, China. These pregnant females developed lamivudine (LAM)- or telbivudine (LdT)-resistant chronic hepatitis B and received tenofovir (TDF) therapy (300 mg/d), and its curative effect, maternal and perinatal adverse events, fetal growth and development, and neonatal prognosis were evaluated.RESULTS: The median hepatitis B virus (HBV) DNA level in the pregnant females with LAM or LdT resistance was 5.9 (range, 4.2-7.2) log10 copies/mL before the initiation of TDF. Ten of these females had abnormal alanine aminotransferase (ALT) levels. The patients were treated with TDF for a median of 24 wk (range, 12-40 wk). Fourteen females (82.4%) had an HBV DNA level of < 500 copies/mL at the time of delivery. This decrease was statistically significant (P < 0.0001). Serum ALT levels were normalized in all subjects with an elevated serum ALT level at baseline (P = 0.0003). There were no significant changes in serum creatinine and phosphorus levels during TDF treatment. In addition, no adverse events related to TDF treatment were observed. Seventeen females delivered 17 live infants, and all infants had good Apgar scores. The mean birth weight was 3226.5 ± 331.7 g, and the mean length at birth was 50.4 ± 1.1 cm. The growth and development of the infants was normal at birth, and no infants had birth defects related to TDF treatment. Eleven infants completed HBV vaccination and had no evidence of vertical transmission.CONCLUSION: The use of TDF in pregnant females with chronic HBV and LAM or LdT resistance was safe and effective.Keywords: Pregnancy, Chronic hepatitis B, Tenofovir, Safety, Birth defects",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4342930/,abstract
3,10.4103/ijnmr.IJNMR_174_18,31333744,"Go to:AbstractBackground:Cancer is the second most common cause of mortality after cardiovascular diseases (CVDs). Resilience is one of the best strategies for coping with diseases in patients with cancer. This study was aimed to determine the effect of resilience-based group therapy intervention on coping in mothers of children with cancer.Materials and Methods:This randomized clinical trial was carried out on 48 mothers of children with cancer in Shahid Motahhari Hospital of Urmia, Iran, in 2017. Samples were randomly divided into two groups in Excel. The data were collected using a demographic questionnaire, the General Health Questionnaire (GHQ-28), and the Coping Health Inventory for Parents (CHIP). Analysis of variance (ANOVA) was used to compare the two groups at three different times. All p values of less than 0.05 were considered significant.Results:A significant difference was observed in the mean scores of integration between the intervention group and control group (F1, 47 = 426.41, p < 0.001); the mean (standard deviation) of the integration score in the intervention and control groups was 40.80 (2.54) and 18.04 (3.05), respectively. Moreover, there was significant difference between the two groups in terms of the mean scores of social support and health status perception (F1, 47 = 176.59, p < 0.001). The mean (standard deviation) of social support and health status perception scores in the intervention group was 39.88 (2.81) and 22.72 (5.91) and in the control group was 16.87 (4.19) and 10.95 (2.01), respectively.Conclusions:Resilience-based group therapy intervention can be an effective strategy for coping with childhood cancer among mothers of children with cancer.Keywords: Adaptation, child, neoplasms, psychological, resilience, therapy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6621495/,abstract
4,10.1136/bmjpo-2017-000172,29637168,"Go to:AbstractObjectiveTo describe the experiences of Australian paediatricians while caring for children with rare diseases, and their educational and resource needs.DesignA brief online survey was developed and deployed to a representative sample of 679 paediatricians from the Australian Paediatric Surveillance Unit database.ResultsOf the 679 paediatricians, 242 (36%) completed the survey. The respondents were representative of all states and territories of Australia, urban and rural regions, and hospital and private practice. Almost all respondents (93%) had seen children with one or more of >350 different rare diseases during their career; 74% had seen a new patient with rare disease in the last 6 months. The most common problems encountered while caring for patients were: diagnostic delays (65%), lack of available treatments (40%), clinical guidelines (36%) and uncertainty where to refer for peer support (35%). Few paediatricians said that rare diseases were adequately covered during university (40%) or the Fellowship of the Royal Australasian College of Physicians (50%) training, and 28% felt unprepared to care for patients with rare diseases. Paediatricians wanted lists of specialist referral services (82%) and online educational modules about rare diseases (78%) that could be accessed via one online portal that consolidated multiple resources. Smartphone applications on rare diseases were favoured by paediatricians aged <50 years and by female paediatricians.ConclusionsAn online educational portal should be developed and maintained for accuracy and currency of information to support dissemination of rare disease guidelines, referral pathways and coordination services relevant to Australian paediatricians and other health professionals who care for children with rare diseases.Keywords: paediatric practice, general paediatrics, medical education, genetics",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5862166/,abstract
5,10.1002/humu.23542,29704307,"Go to:AbstractRett syndrome (RTT) is a monogenic rare disorder that causes severe neurological problems. In most cases, it results from a loss‐of‐function mutation in the gene encoding methyl‐CPG‐binding protein 2 (MECP2). Currently, about 900 unique MECP2 variations (benign and pathogenic) have been identified and it is suspected that the different mutations contribute to different levels of disease severity. For researchers and clinicians, it is important that genotype–phenotype information is available to identify disease‐causing mutations for diagnosis, to aid in clinical management of the disorder, and to provide counseling for parents. In this study, 13 genotype–phenotype databases were surveyed for their general functionality and availability of RTT‐specific MECP2 variation data. For each database, we investigated findability and interoperability alongside practical user functionality, and type and amount of genetic and phenotype data. The main conclusions are that, as well as being challenging to find these databases and specific MECP2 variants held within, interoperability is as yet poorly developed and requires effort to search across databases. Nevertheless, we found several thousand online database entries for MECP2 variations and their associated phenotypes, diagnosis, or predicted variant effects, which is a good starting point for researchers and clinicians who want to provide, annotate, and use the data.Keywords: databases, FAIR data, genetic variation, MECP2, phenotype, Rett syndrome",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6033003/,abstract
6,10.3390/nu11030520,30823411,"Go to:AbstractIntroduction: In phenylketonuria (PKU), evidence suggests that casein glycomacropeptide supplemented with rate-limiting amino acids (CGMP-AA) is associated with better protein utilisation and less blood phenylalanine (Phe) variability. Aim: To study the impact of CGMP-AA on blood Phe variability using 3 different dietary regimens in children with PKU. Methods: This was a 6-week randomised controlled cross-over study comparing CGMP-AA vs. Phe-free l-amino acids (l-AA) assessing blood Phe and tyrosine (Tyr) variability over 24 h in 19 children (7 boys) with PKU, with a median age of 10 years (6–16). Subjects were randomised to 3 dietary regimens: (1) R1, CGMP-AA and usual dietary Phe (CGMP + Phe); (2) R2, CGMP-AA − Phe content of CGMP-AA from usual diet (CGMP − Phe); and (3) R3, l-AA and usual dietary Phe. Each regimen was administered for 14 days. Over the last 48 h on days 13 and 14, blood spots were collected every 4 h at 08 h, 12 h, 16 h, 20 h, 24 h, and 04 h. Isocaloric intake and the same meal plan and protein substitute dosage at standardised times were maintained when blood spots were collected. Results: Eighteen children completed the study. Median Phe concentrations over 24 h for each group were (range) R1, 290 (30–580), R2, 220 (10–670), R3, 165 (10–640) μmol/L. R1 vs. R2 and R1 vs. R3 p < 0.0001; R2 vs. R3 p = 0.0009. There was a significant difference in median Phe at each time point between R1 vs. R2, p = 0.0027 and R1 vs. R3, p < 0.0001, but not between any time points for R2 vs. R3. Tyr was significantly higher in both R1 and R2 [70 (20–240 μmol/L] compared to R3 [60 (10–200) μmol/L]. In children < 12 years, blood Phe remained in the target range (120–360 μmol/L), over 24 h, for 75% of the time in R1, 72% in R2 and 64% in R3; for children aged ≥ 12 years, blood Phe was in target range (120–600 μmol/L) in R1 and R2 for 100% of the time, but 64% in R3. Conclusions: The residual Phe in CGMP-AA increased blood Phe concentration in children. CGMP-AA appears to give less blood Phe variability compared to l-AA, but this effect may be masked by the increased blood Phe concentrations associated with its Phe contribution. Reducing dietary Phe intake to compensate for CGMP-AA Phe content may help.Keywords: glycomacropeptide, phenylalanine, phenylketonuria, phenylalanine variability, amino acids, tyrosine",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6471794/,abstract
7,10.5144/0256-4947.2016.391,27920410,"Go to:AbstractBACKGROUNDAutosomal recessive primary microcephaly (MCPH) is a clinically and genetically heterogeneous disorder. Patients with MCPH exhibit reduced occipito-frontal head circumference and non-progressive intellectual disability. To date, 17 genes have been known as an underlying cause of MCPH in humans. ASPM (abnormal spindle-like, microcephaly associated) is the most commonly mutated MCPH gene.OBJECTIVEIdentify the genetic defect underlying MCPH in a Saudi family.DESIGNA cross-sectional clinical genetic study of a Saudi family.SETTINGMadinah Maternity and Children Hospital and Centre for Genetics and Inherited Diseases, Taibah University.PATIENTS AND METHODSA molecular analysis was carried out on DNA samples from 10 individuals of a Saudi family segregating MCPH. DNA was isolated from the peripheral blood of 10 individuals, including 2 patients, and whole exome sequencing was performed using the Nextera Rapid Capture kit and NextSeq500 instrument. VariantStudio was used to filter and prioritize variants.MAIN OUTCOME MEASURE(S)Detection of mutation in the ASPM gene in a family segregating autosomal recessive primary microcephaly.RESULTSA novel homozygous splice-site variant (c.3742-1G>C) in the ASPM gene was identified. The variant is predicted to have an effect on splicing. Human Splice Finder, an in silico tool, predicted skipping of exon 16 due to this variant.CONCLUSIONSkipping of exon 16 may change the order and number of IQ motifs in the ASPM protein leading to typical MCPH phenotype.LIMITATIONSSingle family study.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6074201/,abstract
8,10.1186/s13065-019-0611-x,31508598,"Go to:AbstractProstate cancer (PC) is the sixth most common cancer type in the world, which causes approximately 10% of total cancer fatalities. The detection of protein biomarkers in body fluids is the key topic for the diagnosis and prognosis of PC. Highly sensitive screening of PC is the most effective approach for reducing mortality. Thus, there are a growing number of literature that recognizes the importance of new technologies for early diagnosis of PC. Graphene is playing an important role in the biosensor field with remarkable physical, optical, electrochemical and magnetic properties. Many recent studies demonstrated the potential of graphene materials for sensitive detection of protein biomarkers. In this review, the graphene-based biosensors toward PC analysis are mainly discussed in two groups: Firstly, novel biosensor interfaces were constructed through the modification of graphene materials onto sensor surfaces. Secondly, ingenious signal amplification strategies were developed using graphene materials as catalysts or carriers. Graphene-based biosensors have exhibited remarkable performance with high sensitivities, wide detection ranges, and long-term stabilities.Keywords: Prostate cancer, Protein biomarker, Graphene, Biosensor",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720397/,abstract
9,10.3389/fnut.2017.00005,28373974,"Go to:AbstractObesity is an increasing major public health concern asking for dietary strategies to limit weight gain and associated comorbidities. In this review, we present animal models, particularly rats and mice, which have been extensively used by scientists to understand the consequences of diet quality on weight gain and health. Notably, modulation of dietary protein quantity and/or quality has been shown to exert huge effects on body composition homeostasis through the modulation of food intake, energy expenditure, and metabolic pathways. Interestingly, the perinatal window appears to represent a critical period during which the protein intake of the dam can impact the offspring’s weight gain and feeding behavior. Animal models are also widely used to understand the processes and mechanisms that contribute to obesity at different physiological and pathophysiological stages. An interesting example of such aspect is the situation of decreased estrogen level occurring at menopause, which is linked to weight gain and decreased energy expenditure. To study metabolic disorders associated with such situation, estrogen withdrawal in ovariectomized animal models to mimic menopause are frequently used. According to many studies, clear species-specific differences exist between rats and mice that need to be taken into account when results are extrapolated to humans.Keywords: animal models, obesity, body composition, dietary protein, food intake, energy expenditure, estrogen deficiency",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5357654/,abstract
